bakim_carpani,t,foton_carpani,n2_carpani,h2o_cap,durum,buyume
1.5,0.46,0.7786,0.460108,460.54,optimal,0.009211533151601415
1.5,0.48,0.7867999999999999,0.480104,480.52,optimal,0.00935363798785355
1.5,0.5,0.7949999999999999,0.5001,500.5,optimal,0.009495742824103445
1.5,0.52,0.8032,0.520096,520.48,optimal,0.009637847660354417
1.5,0.54,0.8114,0.540092,540.46,optimal,0.00977995249660653
1.5,0.56,0.8196,0.560088,560.44,optimal,0.009922057332859351
1.5,0.58,0.8278,0.5800839999999999,580.42,optimal,0.010064162169108489
1.5,0.6,0.836,0.60008,600.4,optimal,0.010206267005359548
1.5,0.62,0.8442000000000001,0.620076,620.38,optimal,0.010348371841612445
1.5,0.64,0.8524,0.640072,640.36,optimal,0.010490476677862551
1.5,0.66,0.8606,0.660068,660.34,optimal,0.010632581514114442
1.5,0.68,0.8688,0.680064,680.32,optimal,0.010774686350367574
1.5,0.7,0.877,0.7000599999999999,700.3,optimal,0.010916791186617416
1.5,0.72,0.8852,0.7200559999999999,720.28,optimal,0.011058896022868563
1.5,0.74,0.8934,0.7400519999999999,740.26,optimal,0.01120100085911863
1.5,0.76,0.9016,0.7600480000000001,760.24,optimal,0.011343105695372488
1.5,0.78,0.9097999999999999,0.7800440000000001,780.22,optimal,0.01148521053162163
1.5,0.8,0.918,0.8000400000000001,800.2,optimal,0.011627315367874484
1.5,0.82,0.9261999999999999,0.820036,820.18,optimal,0.011769420204122671
1.5,0.84,0.9344,0.840032,840.16,optimal,0.011911525040373568
1.5,0.86,0.9426,0.860028,860.14,optimal,0.012053629876624703
1.5,0.88,0.9508,0.880024,880.12,optimal,0.012195734712877491
1.5,0.9,0.9590000000000001,0.90002,900.1,optimal,0.012337839549128635
1.5,0.92,0.9672000000000001,0.9200160000000001,920.08,optimal,0.012479944385381476
1.5,0.94,0.9754,0.940012,940.06,optimal,0.012622049221630606
1.5,0.96,0.9836,0.960008,960.04,optimal,0.012764154057880815
1.5,0.98,0.9918,0.980004,980.02,optimal,0.012906258894136583
1.5,1.0,1.0,1.0,1000.0,optimal,0.013048363730384751
2.0,0.0,0.59,0.0002,1.0,optimal,0.004515957134813991
2.0,0.02,0.5982,0.020196,20.98,optimal,0.004658061971066001
2.0,0.04,0.6063999999999999,0.040192,40.96,optimal,0.004800166807315965
2.0,0.06,0.6145999999999999,0.060188,60.94,optimal,0.004942271643567
2.0,0.08,0.6228,0.080184,80.92,optimal,0.00508437647981804
